@relation letterRecog-weka.filters.unsupervised.attribute.DMI-D2-N-1-F0.25-E-1-I-1-L1.0E-4

@attribute feat1 numeric
@attribute feat2 numeric
@attribute feat3 numeric
@attribute feat4 numeric
@attribute feat5 numeric
@attribute feat6 numeric
@attribute feat7 numeric
@attribute feat8 numeric
@attribute feat9 numeric
@attribute feat10 numeric
@attribute feat11 numeric
@attribute feat12 numeric
@attribute feat13 numeric
@attribute feat14 numeric
@attribute feat15 numeric
@attribute feat16 numeric
@attribute Class {A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z}

@data
5,8,7,6,7,7,8,1,4,10,6,6,5,10,3,5,F
5,10,5,7,2,1,14,5,4,12,10,6,0,8,2,5,F
7,9,10,8,10,8,6.510051,4,4,8,4,7,8,6,7,6,R
4,8.53442,5,7,2,3,6,8,3,7,7,11,4,8,2,11,K
2,3.275511,3,3,2,8,7,6,3,9,5,8,2,8,2,8,O
2,3,3,1,1,8,2,2,1,7,2,8,2,6,2,7,A
7,13,6,7,4,10,3.722683,4,7,10,4,9,3,9,6,13,Q
5,11,6,8,6,7,8,7,3,10,8,8,4,7,5,10,O
3,4,3,5,2,7,8.406447,14,3,7,3,8,3,8,0,8,H
3,5.86438,3,4,2,5,11,3,6,11,9,5,1,10,3,6,F
7,12.482149,7,8,4,2,11,3,4,11,12,8,2,10,1,8,V
4,9,6,6,4,7,6,3,7,9,9,9,2,10,4,6,S
2,3,3,2,1,7,9.97265,4,4,12,5,3,1,10,2,8,P
6,13,6,7,4,7,9,2,7,12,6,6,2,9,5,5,T
5,10,7,8,5,7,7.19152,5,5,7,7,7,6,7,3,7,N
5,11,8,8,10,9,7.296314,5,5,7,7,7,7,9,8,9,B
3,9,4,6,1,7,7,4,4,7,6,8,3,8,4,8,X
1,6,2,4,1,12,3,9,3,13,6,12,1,6,0,8,J
3,5,5,7,7,8,4,4,3,7,8,8,5,9,5,8,Y
5,5.939793,7,4,6,7,9,4,4,6,4,8,7,7,5,7,N
6,8,8,7,6,8,4,3,4,9,3,8,4,7,5,8,O
4,7,6,5,3,7,7.554142,2,10,11,6,8,1,8,6,8,Z
6,10,7,7,4,5,6.598311,6,8,11,9,14,2,9,4,5,C
6,14,6,8,4,12,2,3,2,12,4,11,4,4,4,11,A
5,11,7,8,4,8,9,6,10,5,6,6,0,8,9,7,S
6,12,4,6,2,7,8,7,6,11,7,7,2,9,5,8,C
5,10,7,8,4,5,12.495181,3,8,8,12,8,1,12,1,7,T
3,8,4,6,3,5,11,2,7,8,11,8,2,11,1,7,T
6,11,7,8,7,6,6,9,5,6,6,8,3,7,5,12,L
2,3,3,3,2,9,10,5,2,5,7,10,3,9,5,10,Q
1,2,2,2,1,8,8,4,2,8,7,9,2,9,3,9,Q
3,3,5,2,2,7,10,3,4,12,4,3,1,10,3,8,P
5,10,5,7,4,7,7,12,2,7,9,8,8,6,0,8,M
5,10.523906,7,8,7,6,9,6,5,9,7,4,2,10,4,7,P
5,7,9,5,10,9,6.317744,3,3,8,4,7,11,6,3,5,M
1,1,2,1,0,7,4,2,0,7,2,8,2,7,1,8,A
1,0,2,0,1,8,7,5,5,6,6,9,1,7,5,10,G
4,8,6,6,8,8,7,5,3,7,7,7,6,10,8,9,B
3,6,5,4,2,4,8,5,1,7,8,8,8,10,0,8,W
7,10,7,5,4,8,9,4,3,12,5,4,4,11,5,6,P
6,12,6,6,3,10,5.133414,3,8,9,2,6,4,6,4,10,X
3,7.233857,5,6,2,8,10,2,2,6,12,8,1,11,0,8,Y
4,9,5,7,4,5,7,6,5,10,8,11,2,9,4,10,G
6,9.606592,8,8,4,5,8,5,2,7,8,8,9,9,0,8,W
4,9,5,7,3,8,7,8,7,6,6,9,2,7,6,10,G
6,7,8,9,8,7.812284,8,4,6,6,6,7,5,9,11,11,J
7,9,6,5,2,7,8,3,8,13,6,7,2,8,5,5,T
4,8,6,6,5,3,8.523651,2,6,10,10,11,3,8,3,6,K
7,13.136542,7,9,6,8,7,6,3,8,8,11,3,8,6,8,Q
5,11,5,8,4,1,12,4,5,12,11,8,0,8,1,6,F
4,8,6,6,3,8,4,5,4,14,6,13,1,6,0,7,J
10,12.349595,8,7,4,7,10,4,7,3,4,9,5,7,2,7,N
8,14,7,8,4,7,9,3,7,14,5,4,3,7,6,8,I
5,8,5,9,7,8,7.098943,7,3,8,6,9,3,9,6,7,Q
5,7.306971,7,10,9,9,9,5,0,6,7,10,8,14,5,11,Q
5,9,7,7,3,8,8,4,2,7,8,8,8,9,0,8,W
3,6,5,4,3,5,8,3,8,11,8,9,2,8,4,7,E
3,5,5,3,2,8,8,2,5,10,4,6,5,8,1,7,M
6,9,7,4,4,7,8,3,5,10,6,8,6,9,5,8,H
7,12.407037,5,9,4,7,11,2,3,8,10,5,3,9,5,7,Y
2,3,3,2,2,8,7.097631,3,5,10,5,7,2,8,4,10,B
2,3,3,2,1,7,8,6,6,7,9,8,3,10,1,8,U
2,4,4,6,2,7,3,3,3,7,1,8,3,6,3,8,A
4,8,6,6,7,7,6.118089,5,5,7,7,10,10,5,2,8,M
2,3,3,2,1,5,8.145754,5,6,10,9,8,3,9,1,6,W
5,11,6,8,6,8,8,13,1,6,6,8,6,8,1,10,N
4,5.422964,5,4,2,7,7,8,8,7,6,8,3,8,4,8,O
5,9,5,6,2,7,8,15,0,7,5,8,3,8,0,8,H
3,2,5,3,2,7,12,2,3,7,11,8,3,10,1,8,V
4,9,6,6,5,7,7.110808,7,7,7,7,9,3,8,3,9,H
3,7,5,5,4,7,8,5,8,6,5,9,3,8,6,9,E
7,14,6,8,5,8,6,4,5,7,7,8,6,5,4,6,U
4,9,6,6,5,8,7,1,7,11,5,9,3,8,5,10,E
5,9,7,8,6,7,8,3,6,6,7,9,3,8,8,8,L
3,3,5,2,2,7,8,3,6,10,7,7,3,8,3,8,H
4,5,5,7,4,8,7,12,2,6,9,8,8,6,0,8,M
2,3,4,2,1,6,8,1,8,10,8,9,2,8,3,7,X
3,5,5,3,2,6,9,2,4,10,7,7,5,8,1,8,N
3,3,4,1,1,4,9,5,6,11,10,9,3,10,2,7,U
3,5,6,4,3,5,8,2,7,10,9,10,3,8,3,7,K
8,11,8,8,4,3,9.230917,5,7,11,12,10,3,9,2,6,U
10,15,9,8,6,7,6,5,5,6,7,8,5,5,3,7,U
2,3,2,1,1,5,8.592405,4,4,10,9,5,1,9,3,6,F
5,11,6,8,3,7,7,15,2,4,6,8,6,8,0,8,N
6,9.24147,5,5,3,6,11,6,2,11,5,4,4,10,4,8,P
5,8.269383,6,7,2,8,4,14,6,6,15,8,3,9,0,8,U
5,5,6,3,4,4,10.432614,3,2,9,9,8,7,11,1,7,W
5,8,7,6,6,7,6,6,4,7,6,9,5,8,7,10,P
7,11,7,6,5,9,7,3,5,10,5,7,6,7,7,8,B
5,11,6,8,3,8,7,8,8,6,6,9,2,7,5,10,G
7,11,8,6,5,4,8.273826,2,3,8,10,8,10,10,2,5,W
1,3,3,2,1,8,6,3,6,14,5,10,0,7,0,7,J
3,3.50348,5,3,3,7,11,3,2,6,9,8,7,11,0,8,W
2,3,3,1,2,7,7,6,6,7,6,5,2,8,3,7,D
3,6.238634,4,5,3,8,8,5,7,5,5,5,0,7,8,8,S
5,9.247379,8,8,4,8,2,2,3,6,2,7,5,7,6,8,A
7,9,7,6,5,4,10,3,3,9,8,7,7,11,2,6,W
3,5,6,4,3,9,6.726412,3,6,10,3,7,4,7,4,9,H
1,5,0,8,0,7,7.105499,4,4,7,6,8,0,8,0,8,I
6,10.551896,6,6,3,10,4,4,3,12,6,9,3,10,2,8,S
5,8.287167,7,6,4,7,8,2,10,12,7,9,1,9,6,8,Z
3,4,4,3,3,7,6.386023,6,4,6,7,9,6,5,2,8,M
9,13,9,7,4,4,9,3,7,10,9,11,5,7,3,6,K
2,1.822145,2,1,1,5,10,4,4,10,9,5,1,10,2,7,F
6,10,8,7,5,7,7,7,6,5,7,9,3,8,4,8,G
4,7,5,5,5,8,6.196429,6,4,7,7,8,8,5,2,7,M
2,3,4,2,2,8,11,3,1,6,8,8,6,12,0,7,W
4,7.100382,6,6,3,6,8,9,8,7,6,6,3,8,4,8,O
4,5,5,4,2,4,12,3,3,10,11,7,2,10,1,8,V
6,9,8,7,7,5,6,4,7,6,6,12,5,7,7,10,K
3,6,3,4,1,1,1.935615,6,6,0,1,5,0,8,0,8,L
8,14,8,8,4,8,6,4,4,13,7,8,3,10,4,8,S
2,3.82391,3,3,2,7,7,2,7,11,7,9,2,8,4,8,E
2,2.83768,4,2,1,8,7,2,6,10,6,8,1,9,5,8,S
4,9,4,7,2,8,9,2,4,13,4,5,1,8,6,8,J
1,8,1,6,2,7,7,0,7,7,6,8,0,8,3,8,I
5,9,7,7,5,9,7.062664,6,5,6,5,8,3,8,10,7,Z
3,5.482247,4,4,2,5,10,4,6,10,9,6,1,10,4,6,F
2,2,4,4,2,8,3.613723,2,2,8,2,8,2,6,3,7,A
2,4,3,6,1,14,2,7,5,14,2,11,0,7,0,8,J
1,0.860192,1,1,0,5,11,7,1,10,6,4,1,9,3,8,P
4,8,6,6,3,4,12.43278,4,5,13,8,4,2,10,2,6,F
3,4,5,5,1,7,11,2,2,9,12,7,1,10,0,8,Y
4,7.899998,6,6,4,8,5,3,4,8,3,7,3,7,5,9,O
2,3,3,2,2,8,6.96839,7,4,9,6,9,2,8,3,8,O
1,0,2,1,0,7,7,10.503095,0,5,6,8,4,8,0,8,N
3,9,5,6,4,12,3.377082,2,2,10,2,9,2,6,3,8,A
4.50473,8,6,6,5,8,8,5,5,6,6,5,6,10,2,5,N
4,7,5,5,4,8,6,13,1,7,7,8,3,8,0,8,H
5,8,6,6,4,7,8,2,9,11,7,8,1,9,6,7,Z
5,11,7,8,9,8,8,6,6,7,6,6,2,8,6,9,B
6,10,7,8,4,7,6.709734,13,2,8,9,8,9,6,0,8,M
4,5,6,4,3,7,11,2,3,7,9,8,7,11,1,8,W
4,8.942984,4,8,3,3,6,6,12,7,7,15,0,8,7,7,E
7,11,6,6,4,6,7.1302,5,5,7,8,9,5,8,3,9,U
4,5,4,7,3,7,6.882365,15,1,7,5,8,3,8,0,8,H
7,10,8,8,4,2,9,5,9,11,11,13,1,7,3,6,C
4,7,6,5,3,4,8,5,1,7,9,8,8,9,0,8,W
7,11,9,8,6,8,7.195628,9,5,7,6,6,4,8,5,10,O
8,13,8,7,4,9,5.584073,3,7,9,3,6,5,8,4,8,K
2,3,4,2,2,5,8,2,6,10,8,10,3,8,2,8,K
5,10,7,8,5,9,7.113725,4,6,8,5,6,2,8,4,6,J
10,14,8,8,4,11,4,4,5,11,3,8,5,7,5,10,G
6,9,9,7,5,3,9,3,7,11,11,11,3,8,3,5,K
2,3,4,2,2,6,9,3,6,10,7,8,3,8,3,8,H
3,8,3,6,1,0,1,5,6,0,0,6,0,8,0,8,L
1,2.686817,1,3,1,7,7,1,8,7,6,8,0,8,3,8,I
3,8,5,6,4,10,6,3,6,11,4,7,3,8,2,9,D
4,6,4,8,5,8,8,6,2,8,8,10,3,9,5,8,Q
4,5.510821,6,4,2,7,13,3,4,8,12,8,3,10,2,8,V
3,4,5,5,1,8,10,3,2,6,13,8,2,11,0,8,Y
3,6.196039,4,5,4,6,6,8,6,6,7,7,2,9,7,9,B
4,5.969703,5,4,7,8,8,5,5,7,6,6,6,6,7,6,D
2,2.778432,4,1,2,6,7,2,8,11,8,8,2,8,3,7,X
4,9,5,7,3,8,6.649178,8,8,5,7,9,2,7,6,11,G
5,9,4,4,2,7,9.889399,2,5,13,5,4,1,9,5,8,I
3,5.582429,5,4,3,6,4,2,6,7,2,9,1,7,3,7,L
2,3,3,2,2,7,7.420386,5,5,6,5,6,2,8,5,9,B
4,6.099791,6,4,4,9,7,3,6,11,4,6,3,8,3,8,D
7,10,6,5,3,7,8.662751,2,7,11,6,6,2,9,5,6,F
5,8.092553,7,11,10,10,9,4,2,5,8,9,4,11,10,12,Y
4,7,6,5,4,7,8,2,7,11,6,9,3,8,4,9,E
3,4,6,3,3,6,9,1,8,10,9,8,2,8,3,6,X
7,12,7,6,5,9,6.705086,4,7,11,5,8,4,8,9,10,Q
8,13,6,7,3,9,4.878582,2,5,8,2,8,3,7,5,11,S
4,7,5,9,5,7,10,3,4,7,10,11,3,9,7,7,Q
0,1,0,1,0,7,7,4,4,7,6,8,0,8,0,8,I
5,5,8,8,4,5,8,5,1.444852,7,8,8,9,9,0,8,W
5,8,7,6,8,8,7.007655,5,2,7,5,8,9,9,5,11,O
3,10.146817,4,8,2,6,9,0,8,13,7,7,0,8,1,7,I
3,6,4,7,4,9,7,7,3,5,6,10,3,8,6,10,Q
4,8,6,6,4,8,8,6,7,9,5,4,3,7,4,9,D
2,3,2,1,1,8,8,6,5,7,5,7,2,8,8,8,S
5,10,5,7,3,6,11,3,7,11,9,4,2,12,3,4,T
4,7,5,5,3,6.501686,8,8,5,7,7,9,3,8,3,8,O
0,6,0,4,0,7,7,4.273613,3,7,6,8,0,8,0,8,I
3,5,5,4,3,6,7,2,8,11,7,9,2,8,4,8,E
10,9,10,4,4,7,11,5,5,4,5,10,10,12,2,7,N
5,10.741262,6,8,6,7,7,6,7,7,6,8,6,8,3,7,N
6,10,8,8,6,7,11.618125,4,4,13,6,3,1,10,3,8,P
6,8,8,6,6,10,6,3,6,10,3,7,6,7,5,11,H
4,6.66698,6,5,7,8,7,4,4,6,7,8,7,10,5,7,U
4,7,5,5,5,6,9,2,6,10,9,6,5,10,3,7,F
2,1.485308,3,2,1,8,8,6,6,5,9,8,3,9,1,8,U
3,6,4,4,2,7,7.555777,5,8,5,6,9,0,9,9,8,S
8,11.24548,8,6,4,10,6,3,9,9,2,5,4,6,4,10,X
4,7,5,5,5,7,7.453664,8,4,7,5,8,4,8,10,2,A
4,7,7,6,7,7,7.431006,3,3,7,5,8,6,8,6,6,R
3,7.166207,4,6,2,0,2,4,6,1,0,8,0,8,0,8,L
5,9,8,6,5,7,7.549694,0,8,10,7,8,2,8,3,7,X
5,10,7,8,7,8,8,4,6,8,4,8,4,5,5,11,R
5,7.077281,7,5,7,6,7,4,3,6,5,9,7,9,6,10,R
3,5.613143,3,4,3,6,9,8,4,7,5,8,2,7,4,11,R
10,11,10,8,4,3,9.471344,6,9,12,12,9,3,9,1,7,U
3,7,5,5,3,7,7.59762,6,6,5,9,9,3,9,1,8,U
6,8.491208,6,6,3,4,10,3,7,11,11,6,1,11,3,4,Y
3,3,4,1,2,8,7,5,6,7,6,8,5,8,3,7,H
6,9,6,5,3,9,5,4,4,13,6,9,3,10,3,8,S
3,6,4,4,3,6,7,8,5,7,5,7,3,7,3,8,N
4,9,6,7,3,8,7,9,8,7,5,8,3,8,4,8,D
6,9.477019,9,7,7,8,7,2,4,9,7,8,8,7,2,8,M
3,2,5,3,2,9,12,3,3,5,11,9,2,10,1,9,V
4,8,6,6,5,6,8,6,5,9,7,4,2,10,4,7,P
4,5,5,4,3,7,6,6,6,6,6,10,2,9,4,8,O
3,4,5,3,2,10,7,2,8,11,3,7,2,8,3,9,X
4,6.826401,5,5,3,4,8,5,7,10,9,9,3,9,2,6,U
3,7,5,5,2,9,6,3,9,11,3,9,1,7,6,9,Z
7,10,9,8,10,9,7.062845,5,4,9,6,9,6,9,12,11,S
2,6,3,4,2,8,7.068533,8,5,5,8,9,3,8,5,10,Q
5,5,6,7,2,7,7,5,4,7,6,8,3,8,4,8,X
3,3,3,4,2,5,10,8,4,7,4,8,2,7,5,11,R
3.565845,4,5,3,3,6,11,5,2,8,7,6,6,11,2,6,W
4,11,5,8,7,7,7,5,7,7,5,9,6,8,6,10,E
5,8,6,6,4,6,7,5,4,9,8,9,2,7,5,9,G
3,8,4,6,2,5,7,10,8,7,6,5,3,8,4,8,D
6,9,8,7,5,6,14,6,1,11,5,2,1,11,4,7,P
2,4,3.498589,2,2,8,7.670126,2,7,11,6,7,1,8,5,8,S
4,6.288611,6,5,3,7,7,7,6,7,6,8,4,9,4,8,C
5,10,7,7,5,7,9,4,6,5,8,10,6,10,1,7,U
4,5,5,4,4,7,7,7,7,7,6,5,2,8,3,7,D
2,2,4,3,1,6,2,2,2,5,2,8,2,6,2,6,A
7,9,9,6,7,9,5,1,7,10,3,9,8,5,7,10,K
3,6,5,4,1,8,8,4,2,6,14,8,3,10,0,8,V
2,7,4,5,3,4,11,5,4,11,8,4,1,10,3,7,P
2,4,4,3,1,8,6,3,6,14,6,10,0,7,0,7,J
4,9,6,7,6,7,7,6,2,7,6,11,4,8,8,8,G
4,7,6,6,6,6,7.799306,5,5,8,6,8,6,9,8,7,V
3,5,4,3,2,4,4,4,8,2,1,6,1,7,1,6,L
7,13.873629,9,8,5,3,9,4,4,13,12,10,6,9,0,8,N
4,9,5,7,6,7,7,9,5,7,5,6,2,8,8,10,B
5,5,7,4,6,9,8,4,5,6,6,7,8,6,6,5,M
3,4,4,3,2,6,7.379572,5,5,9,7,10,2,8,4,9,G
8,10,7,6,4,8,5,3,5,8,7,6,5,9,5,5,Y
6,10,8,8,11,7,6,4,5,7,7,8,11,9,7,10,U
5,6,6,4,2,4,13,4,4,10,11,6,3,10,1,8,V
4,9,4,4,2,8,4.961394,3,5,12,7,11,2,8,6,8,L
4,6,6,5,5,8,6.32173,2,3,8,3,8,4,5,6,10,K
4,5.233768,6,4,4,8,8,6,6,6,5,4,6,10,3,5,N
2,3,4,2,2,8,8,3,5,9,4,7,2,6,3,10,R
3,6,4,4,3,6,7,6,8,6,4,9,3,8,6,9,E
6,8,8,6,8,8,6,4,3,9,5,8,5,9,11,10,S
2,4.884523,3,4,2,5,4,5,7,2,2,5,1,6,1,6,L
3,4,4,3,2,6,9,6,6,7,9,9,3,9,1,9,U
3,1.896522,3,2,2,8,8,6,5,7,6,7,2,8,9,8,S
6,9,9,7,9,6,7.194172,5,4,7,5,8,4,6,10,9,K
3,3,4,4,2,7,8,4,1,7,8,8,8,10,0,8,W
6,8,8,6,7,6,8,7,6,8,5,7,6,7,5,10,H
1,4,0,5,0,7,7,4,4,7,6,8,0,8,0,8,I
1,0,2,0,0,8,10,3,1,6,12,8,1,11,0,8,Y
4,8.027635,5,6,7,8,7,5,2,6,6,8,8,8,7,12,G
1,0,2,0,0.116945,7,9,3,1,7,12,8,1,11,0,8,Y
3,7.409791,5,6,3,6,3,2,3,5,2,8,2,6,3,6,A
5,9,7,7,4,6,8,1,8,10,8,9,3,8,3,6,X
3,8,5,6,5,8,7,7,6,8,4,5,4,9,4,8,D
4,8.575955,5,7,6,7,8,9,6,7,6,6,2,8,8,10,B
1,5.353826,1,4,1,7,7,1,7,7,6,8,0,8,2,8,I
1,0,1,0,0,3,12,4,2,11,8,5,0,8,2,7,F
3,5,4,4,2,6,12,3,6,7,11,9,2,11,1,8,T
2,6,3,4,3,8,7,7,6,7,8,9,2,10,8,8,S
3,6,5,4,1,9,8,4,2,5,14,8,3,10,0,8,V
9,11,7,6,4,10,4,5,6,11,3,9,5,7,6,11,B
4,10,6,8,8,8,6.521977,5,6,7,6,8,7,6,7,7,T
5,11,7,8,4,7,10,5,5,12,5,3,1,10,3,8,P
2,7,4,5,3,12,3,2,2,9,2,9,3,7,3,9,A
5,7,6,5,6,7,6,5,3,7,6,9,5,8,7,7,G
4,9,5,6,1,7,7,5,4,7,6,8,3,8,4,8,X
8,13.640785,7,8,5,6,7,4,7,8,5,7,6,9,7,5,D
1,4,2,3,1,7,7,0,7,13,6,8,0,8,0,8,I
2,5,2,3,1,4,3,3,7,2,2,6,0,7,0,6,L
3,8,5,6,6,7,7.480671,3,5,6,7,10,6,11,6,6,L
4,8,6,6,4,9,8,1,6,13,5,5,2,9,3,9,F
3,4,4,2,2,4,11,2,7,11,10,5,1,11,2,5,Y
5,9,7,8,9,7,6,5,4,6,5,8,7,10,7,9,V
4,9,6,6,4,8,7.021822,9,6,8,5,5,3,7,3,7,N
5,9,6,11,6,9,7,8,3,5,6,11,5,8,8,8,Q
2,3,3,2,1,7,10.062007,4,3,12,5,3,1,10,2,8,P
5,10,7,8,7,9,7,6,6,8,5,5,5,9,4,10,D
2,4,3,3,2,9,8.798928,3,4,12,4,3,1,10,3,9,P
3,8,4,5,2,5,10,9,4,7,4,8,3,7,6,11,R
5,8.452394,7,6,5,10,6,3,5,10,3,7,3,7,4,10,R
4,11,6,8,4,7,5,3,0,6,1,8,2,7,1,8,A
8,12,6,6,4,7,7,5,6,10,5,8,6,6,7,10,B
5,10,7,7,6,6,7,4,7,6,6,9,7,8,5,9,K
4,9,4,4,2,4,11,2,6,12,8,5,2,8,4,3,T
1,0,2,0,0,7,13.854457,2,4,7,10,8,0,8,0,8,T
5,11,8,8,5,11,2,3,3,9,2,9,5,7,4,9,A
4,6,6,4,3,5,8,7,8,9,10,10,3,9,1,8,U
3,8,5,6,3,12,2.910949,2,2,10,2,9,2,6,2,8,A
5,9,5,6,3,3,10,2,6,10,12,7,2,11,2,5,Y
3,5,5,4,3,9,6,4,7,10,4,6,2,8,3,9,D
2,0.62658,2,1,0,2,0,6,4,0,3,4,0,8,0,8,L
5,8,6,7,6,7,4,5,4,7,4,9,5,4,7,6,Q
5,11,6,8,3,7,9,15,1,7,3,8,3,8,0,8,H
2,1.002006,2,2,1,7,7,12,1,5,6,8,5,8,0,8,N
3,3,5,4,1,8,11,2,2,5,12,8,1,10,0,8,Y
4,10,6,8,4,7,6,9,5,7,4,8,3,8,3,8,O
2,4,3,5,1.110032,5,13.594151,1,6,9,11,7,0,8,0,8,T
6,8,8,6,8,8,9,6,4,7,7,8,6,9,6,7,M
4,4,4,6,2,3,7,8,2,7,6,11,4,8,2,11,K
2,7,3,5,3,7,7,7,4,7,5,8,3,8,2,8,O
8,10,8,5,5,8,7.053375,3,5,10,5,7,6,9,4,8,H
3,7,5,5,5,10,7.293471,1,5,9,5,6,4,10,5,7,F
5,10,5,7,3,7,10,15,2,7,3,8,3,8,0,8,H
3,8.667016,5,7,3,9,3,2,2,8,1,8,2,6,3,7,A
5,7,7,8,6.893745,7,8,4,6,7,6,6,4,9,9,9,F
3,5,5,7,7,9,6,4,1,6,7,8,6,10,8,9,Y
3,9,5,7,3,12,2.692047,4,3,10,1,9,2,7,3,9,A
6,10,8,8,8,7,7,5,3,7,6,9,5,8,9,8,E
3,8,4,5,1,7,7,4,4,7,6,8,3,8,4,8,X
4,6,5,4,4,7,7,7,7,7,6,8,3,10,6,8,T
3,2.467645,4,2,2,8,7,3,9,6,6,8,3,8,6,8,X
7,10,7,7,6,4,9.75871,2,3,9,9,8,7,11,2,6,W
3,8,4,6,3,8,7,13,1,7,7,8,3,8,0,8,H
1,0.251653,2,0,0,7,10,1,3,7,12,8,1,11,0,8,Y
6,10,7,8,5,6,6.974834,6,5,9,6,12,4,8,5,8,G
3,1,3,3,2,8,7,6,5,7,6,8,2,9,9,8,S
4,9,5,7,2,7,5,15,5,7,13,8,3,9,0,8,U
7,9,8,7,4,2,10,3,7,12,12,7,1,11,2,5,Y
4,10,5,8,4,3,6,7,4,7,7,12,3,8,3,11,K
5,10,8,8,6,8,6.613752,2,4,9,6,8,8,6,2,8,M
4,4,4,6,3,3,8,6,12,7,5,14,0,8,7,7,E
4,6.556686,4,5,2,9,10,6,9,5,6,6,0,7,8,9,S
4,7,5,5,4,8,8,13,1,6,6,7,6,8,1,10,N
4,11,6,8,6,9,11.922124,3,7,5,12,8,2,12,1,9,T
4,8.040644,5,6,4,7,5,3,0,6,1,8,2,7,1,7,A
6,10,6,7,6,8,7,8,4,8,5,6,5,8,5,9,O
5,10.194046,7,8,7,7,7,4,4,6,6,9,4,8,2,9,U
4,11,6,8,4,8,7,4,9,6,6,6,3,8,7,7,X
5,7,6,5,4,7,7.754326,3,7,10,8,8,2,9,5,6,S
5,11,6,8,5,6,8,6,11,7,7,10,1,9,8,8,Z
3,7,4,5,3,8,8,8,6,7,5,8,2,8,3,7,O
2,3.318432,4,2,2,7,7,2,7,11,7,9,2,8,4,8,E
4,5.949748,5,4,3,7.639552,6,6,6,10,6,11,2,10,4,10,G
5,11,7,9,4,9,7,2,6,14,3,7,0,7,0,7,J
4,5,4,8,2,1,12,5,4,11,10,7,0,8,3,6,F
4,11,5,9,6,7,7,5,10,7,5,9,3,10,9,8,Z
5,9.370181,6,8,8,9,7,6,3,7,8,8,7,10,6,5,Y
2,3,2,2,1,5,10,4,5,10,9,6,1,10,3,7,F
6,5,9,8,4,8,7,5,2,7,8,8,9,9,0,8,W
6,9,7,7,6,8,6.149925,11,0,7,9,8,12,4,4,8,M
2,10,5,8,5,10,7.217677,2,5,9,5,5,3,8,6,7,I
3,6,5,4,5,8,9,5,4,5,9,9,5,8,2,7,W
6,9.887385,7,8,8,8,6,1,6,7,6,8,4,13,9,8,X
6,9,8,7,6,9,6,4,7,9,5,7,3,8,6,10,B
6.139104,11,8,8,5,5,7,5,5,5,7,7,3,6,4,7,G
5,11,6,9,3,7,7,15,2,4,6,8,6,8,0,8,N
7,10,9,8,6,6,9,3,10,12,8,7,1,9,6,6,Z
5,7,7,5,4,3,9,3,6,10,11,11,3,8,3,6,K
2,5.281257,3,4,1,8,14,0,6,6,11,8,0,8,0,8,T
2,5.7723,3,5,2,7,7,9,6,7,6,8,3,8,4,8,O
2,2,4,4,2,7,10,1,7,7,11,8,1,11,2,8,Y
6,9,8,7,4,7,9.676583,5,4,12,5,3,1,10,3,9,P
2,4,4,3,3,9,6,4,6,10,4,6,2,8,3,8,D
3,5,6,6,2,6,5,3,1,6,0,8,2,7,2,7,A
5,8,8,7,7,9,6,2,4,9,3,8,4,6,7,11,K
3,6.183834,3.68218,5,2,6,10,9,4,7,4,8,3,7,5,10,R
3,8,3,6,4,7,6,8,5,7,6,7,2,9,7,9,B
4,7.695761,5,6,4,7,7,7,5,7,5,6,3,7,3,8,N
4,7.764845,6,6,8,7,7,3,5,7,6,8,6,9,7,5,R
5,10,7,7,4,7,10,3,6,13,7,5,2,10,2,7,F
2,3.611733,3,3,1,7,4,1,7,9,3,10,0,6,3,8,L
3,7.639702,5,6,3,9,3,2,3,7,1,8,2,6,2,7,A
3,4,5,3,3,9,7,3,5,11,3,6,2,7,3,9,R
2,5,3,4,2,7,7,8,5,7,5,8,2,8,3,8,O
5,8.211077,8,6,6,10,7,3,6,10,2,7,5,7,5,10,R
1,4,2,3,1,9,5.74053,2,6,12,4,9,1,7,1,7,J
5,10,7,8,6,9,7.4639,7,6,6,6,5,3,9,9,11,B
2,1,3,2,2,7,8,4,5,6,5,7,2,6,5,8,R
2,7,3,4,1,1,13,5,3,12,10,6,0,8,3,7,F
3,4,5,3,2,5,7,2,7,10,9,11,3,8,3,7,K
4,6,5,4,2,9,6.74985,0,7,13,5,7,0,8,0,8,J
5,5,7,7,8,9,7,6,3,7,7,8,6,10,6,5,Y
2,6,3,4,2,7,6,6,6,7,3,10,1,8,4,10,G
1,0,1,1,0,7,7.145116,9,0,6,6,8,4,8,0,8,N
4,7,7,5,4,3,8,3,7,11,11,11,3,8,3,5,K
5,6.191491,6,4,3,3,9,5,7,11,11,9,3,9,2,6,U
1,0,2,0,0,8,9,3,1,6,12,8,2,11,0,8,V
3,6.823529,4,5,5,8,7,4,1,7,6,9,6,8,6,12,G
2,8,4,6,2,6,12.383075,3,7,8,11,7,2,11,1,7,T
6,9,8,7,8,8,7,5,6,9,6,6,4,10,6,9,B
5,9,6,7,6,8,6.858527,8,5,7,6,9,3,8,4,6,U
4,9,6,6,3,7,3,1,8,8,2,10,2,5,4,7,L
8,11.142651,6,6,4,10,6,6,5,11,2,8,7,6,5,10,R
3,6.324238,5,5,5,9,6,6,4,6,7,6,7,5,2,6,M
11,12,11.581854,7,6,6,9,5,4,4,4,11,11,14,3,8,M
